,SOC
2019-03-19 12:00:00,1288.1758
2019-03-19 13:00:00,1288.1758
2019-03-19 14:00:00,1288.1758
2019-03-19 15:00:00,1288.1758
2019-03-19 16:00:00,1288.1758
2019-03-19 17:00:00,1288.1758
2019-03-19 18:00:00,900.26373
2019-03-19 19:00:00,512.3516
2019-03-19 20:00:00,124.43956
2019-03-19 21:00:00,2.3564787
2019-03-19 22:00:00,1.0149064
2019-03-19 23:00:00,1.0149064
2019-03-20 00:00:00,1.0149064
2019-03-20 01:00:00,1.0149064
2019-03-20 02:00:00,259.8749
2019-03-20 03:00:00,518.7349
2019-03-20 04:00:00,777.5949
2019-03-20 05:00:00,1036.455
2019-03-20 06:00:00,1036.455
2019-03-20 07:00:00,1036.455
2019-03-20 08:00:00,648.54285
2019-03-20 09:00:00,648.54285
2019-03-20 10:00:00,648.54285
2019-03-20 11:00:00,648.54285
2019-03-20 12:00:00,648.54285
2019-03-20 13:00:00,648.54285
2019-03-20 14:00:00,907.40283
2019-03-20 15:00:00,1166.2628
2019-03-20 16:00:00,1425.1228
2019-03-20 17:00:00,1425.1228
2019-03-20 18:00:00,1425.1228
2019-03-20 19:00:00,1037.2107
2019-03-20 20:00:00,649.29865
2019-03-20 21:00:00,261.38657
2019-03-20 22:00:00,261.38657
2019-03-20 23:00:00,261.38657
2019-03-21 00:00:00,261.38657
2019-03-21 01:00:00,520.2466
2019-03-21 02:00:00,779.10657
2019-03-21 03:00:00,1037.9666
2019-03-21 04:00:00,1296.8265
2019-03-21 05:00:00,1555.6865
2019-03-21 06:00:00,1555.6865
2019-03-21 07:00:00,1555.6865
2019-03-21 08:00:00,1167.7744
2019-03-21 09:00:00,1167.7744
2019-03-21 10:00:00,1167.7744
2019-03-21 11:00:00,1167.7744
2019-03-21 12:00:00,1167.7744
2019-03-21 13:00:00,1167.7744
2019-03-21 14:00:00,1426.6345
2019-03-21 15:00:00,1685.4945
2019-03-21 16:00:00,1685.4945
2019-03-21 17:00:00,1685.4945
2019-03-21 18:00:00,1685.4945
2019-03-21 19:00:00,1297.5824
2019-03-21 20:00:00,909.6703
2019-03-21 21:00:00,521.7582
2019-03-21 22:00:00,521.7582
2019-03-21 23:00:00,521.7582
2019-03-22 00:00:00,521.7582
2019-03-22 01:00:00,780.6182
2019-03-22 02:00:00,1039.4781
2019-03-22 03:00:00,1298.3383
2019-03-22 04:00:00,1557.1982
2019-03-22 05:00:00,1557.1982
2019-03-22 06:00:00,1557.1982
2019-03-22 07:00:00,1169.2861
2019-03-22 08:00:00,781.374
2019-03-22 09:00:00,393.46194
2019-03-22 10:00:00,5.5498514
2019-03-22 11:00:00,1.0499984
2019-03-22 12:00:00,1.0499984
2019-03-22 13:00:00,259.91
2019-03-22 14:00:00,518.77
2019-03-22 15:00:00,777.63
2019-03-22 16:00:00,1036.49
2019-03-22 17:00:00,1036.49
2019-03-22 18:00:00,1036.49
2019-03-22 19:00:00,648.5779
2019-03-22 20:00:00,260.66583
2019-03-22 21:00:00,3.8534706
2019-03-22 22:00:00,1.0313568
2019-03-22 23:00:00,1.0313568
2019-03-23 00:00:00,1.0313568
2019-03-23 01:00:00,1.0313568
2019-03-23 02:00:00,1.0313568
2019-03-23 03:00:00,1.0313568
2019-03-23 04:00:00,1.0313568
2019-03-23 05:00:00,1.0313568
2019-03-23 06:00:00,1.0313568
2019-03-23 07:00:00,1.0313568
2019-03-23 08:00:00,1.0313568
2019-03-23 09:00:00,1.0313568
2019-03-23 10:00:00,1.0313568
2019-03-23 11:00:00,1.0313568
2019-03-23 12:00:00,1.0313568
2019-03-23 13:00:00,259.89136
2019-03-23 14:00:00,518.75134
2019-03-23 15:00:00,777.6113
2019-03-23 16:00:00,1036.4713
2019-03-23 17:00:00,1295.3313
2019-03-23 18:00:00,1554.1914
2019-03-23 19:00:00,1554.1914
2019-03-23 20:00:00,1554.1914
2019-03-23 21:00:00,1554.1914
2019-03-23 22:00:00,1554.1914
2019-03-23 23:00:00,1554.1914
2019-03-24 00:00:00,1554.1914
2019-03-24 01:00:00,1554.1914
2019-03-24 02:00:00,1554.1914
2019-03-24 03:00:00,1813.0514
2019-03-24 04:00:00,1813.0514
2019-03-24 05:00:00,1813.0514
2019-03-24 06:00:00,1813.0514
2019-03-24 07:00:00,1813.0514
2019-03-24 08:00:00,1813.0514
2019-03-24 09:00:00,1813.0514
2019-03-24 10:00:00,1813.0514
2019-03-24 11:00:00,1813.0514
2019-03-24 12:00:00,2064.0
2019-03-24 13:00:00,2064.0
2019-03-24 14:00:00,2064.0
2019-03-24 15:00:00,2064.0
2019-03-24 16:00:00,2064.0
2019-03-24 17:00:00,2064.0
2019-03-24 18:00:00,2064.0
2019-03-24 19:00:00,2064.0
2019-03-24 20:00:00,2064.0
2019-03-24 21:00:00,2064.0
2019-03-24 22:00:00,2064.0
2019-03-24 23:00:00,2064.0
2019-03-25 00:00:00,2064.0
2019-03-25 01:00:00,2064.0
2019-03-25 02:00:00,2064.0
2019-03-25 03:00:00,2064.0
2019-03-25 04:00:00,2064.0
2019-03-25 05:00:00,2064.0
2019-03-25 06:00:00,2064.0
2019-03-25 07:00:00,2064.0
2019-03-25 08:00:00,2064.0
2019-03-25 09:00:00,2064.0
2019-03-25 10:00:00,2064.0
2019-03-25 11:00:00,2064.0
2019-03-25 12:00:00,2064.0
2019-03-25 13:00:00,2064.0
2019-03-25 14:00:00,2064.0
2019-03-25 15:00:00,2064.0
2019-03-25 16:00:00,2064.0
2019-03-25 17:00:00,2064.0
2019-03-25 18:00:00,2064.0
2019-03-25 19:00:00,2064.0
2019-03-25 20:00:00,1676.0879
2019-03-25 21:00:00,1676.0879
2019-03-25 22:00:00,1676.0879
2019-03-25 23:00:00,1676.0879
2019-03-26 00:00:00,1676.0879
2019-03-26 01:00:00,1676.0879
2019-03-26 02:00:00,1676.0879
2019-03-26 03:00:00,1934.9479
2019-03-26 04:00:00,2064.0
2019-03-26 05:00:00,2064.0
2019-03-26 06:00:00,2064.0
2019-03-26 07:00:00,2064.0
2019-03-26 08:00:00,2064.0
2019-03-26 09:00:00,2064.0
2019-03-26 10:00:00,2064.0
2019-03-26 11:00:00,2064.0
2019-03-26 12:00:00,2064.0
2019-03-26 13:00:00,2064.0
2019-03-26 14:00:00,2064.0
2019-03-26 15:00:00,2064.0
2019-03-26 16:00:00,2064.0
2019-03-26 17:00:00,2064.0
2019-03-26 18:00:00,2064.0
2019-03-26 19:00:00,1676.0879
2019-03-26 20:00:00,1288.1758
2019-03-26 21:00:00,1288.1758
2019-03-26 22:00:00,1288.1758
2019-03-26 23:00:00,1288.1758
2019-03-27 00:00:00,1288.1758
2019-03-27 01:00:00,1288.1758
2019-03-27 02:00:00,1288.1758
2019-03-27 03:00:00,1547.0358
2019-03-27 04:00:00,1805.8959
2019-03-27 05:00:00,2064.0
2019-03-27 06:00:00,2064.0
